	official_title	brief_title	drug	phases	nct_id
37	A Phase I/II Clinical Trial to Evaluate the Safety and Efficacy of Bendamustine, Gemcitabine, Rituximab, Nivolumab Combination (BeGeRN) in Patients With Relapsed or Refractory Diffuse Large B-cell Lymphoma	Safety and Efficacy of Bendamustine, Gemcitabine, Rituximab, Nivolumab (BeGeRN) in Patients With r/r DLBCL	Bendamustine hydrochloride | Gemcitabine 500 mg | Gemcitabine 700 mg | Gemcitabine 1000 mg | Nivolumab | Rituximab	1 2	NCT03259529
38	A Phase I/II Study of Haploidentical Bone Marrow Transplant With Post-Transplant Cyclophosphamide and/or Bendamustine	Haploidentical BMT With Post-Transplant Cyclophosphamide and Bendamustine	Bendamustine | Cyclophosphamide	1 2	NCT02996773
39	Efficacy and Safety of Ibrutinib in Patients With Chronic Lymphocytic Leukemia and Other Indolent B-cell Lymphomas Who Are Chronic Hepatitis B Virus Carriers or Occult Hepatitis B Virus Carriers	Efficacy and Safety of Ibrutinib in Patients With CLL and Other Indolent B-cell Lymphomas Who Are Chronic Hepatitis B Virus Carriers or Occult Hepatitis B Virus Carriers	Ibrutinib	3	NCT02991638
40	MK-3475 in Combination With Standard RCHOP Therapy for Previously Untreated Diffuse Large B-Cell Lymphoma	Pembrolizumab and Combination Chemotherapy in Treating Patients With Previously Untreated Diffuse Large B-cell Lymphoma or Grade 3b Follicular Lymphoma	Cyclophosphamide | Doxorubicin Hydrochloride | Prednisone | Vincristine Sulfate	1	NCT02541565
41	A Phase 1 Study Of Pf-05082566 As A Single Agent In Patients With Advanced Cancer, And In Combination With Rituximab In Patients With Non-hodgkin's Lymphoma (Nhl)	A Study Of PF-05082566 As A Single Agent And In Combination With Rituximab	PF-05082566 | rituximab | PF-05082566	1	NCT01307267
42	A Clinical Study Evaluating the Safety and Efficacy of BinD19 Treatment in Relapse or Refractory Childhood Acute Lymphoblastic Leukemia and Lymphoma Subjects	A Clinical Study Evaluating the Safety and Efficacy of BinD19 Treatment in Childhood R/R ALL and Lymphoma Subjects	 	1 2	NCT03265106
43	A Phase 1, Open-Label, Dose-Escalation Study of SGN-CD19A in Patients With B-Lineage Acute Lymphoblastic Leukemia and Highly Aggressive Lymphomas	A Safety Study of SGN-CD19A for Leukemia and Lymphoma	SGN-CD19A	1	NCT01786096
44	Study of Chidamide as a Single-agent Treatment for Patients With Relapse or Refractory B-cell Non-Hodgkin's Lymphoma (NHL)	Study of Chidamide as a Single-agent Treatment for Patients With Relapse or Refractory B-NHL	Chidamide	2	NCT03245905
45	None	LMBA02 Protocol for Patients With a Burkitt Lymphoma	rituximab	3	NCT00180882
46	An Open Label Multicenter Phase Ib/II Trial to Determine the Dose of BI 836826 in Combination With Gemcitabine and Oxaliplatin (GemOx) and the Efficacy of BI 836826-GemOx Versus Rituximab (R)- GemOx (R-GemOx) in Patients With Relapsed/ Refractory Diffuse Large B-cell Lymphoma (DLBCL) Who Are Not Eligible for, or Have Relapsed/Progressed After Autologous/Allogeneic Stem Cell Transplant	To Determine the Dose of BI 836826-GemOx and the Efficacy of BI 836826-GemOx Versus R-GemOx in Patients With Relapsed/Refractory DLBCL	BI 836826 | GemOx | Rituximab | GemOx	2	NCT02624492
47	Donor Mesenchymal Stem Cell Infusion for Treatment of Graft Versus Host Disease: A Phase I Trial	Donor Mesenchymal Stem Cell Infusion in Treating Patients With Acute or Chronic Graft-Versus-Host Disease After Undergoing a Donor Stem Cell Transplant	 	1	NCT00361049
48	VELCADE (Bortezomib) for Injection - Phase II Study of Bortezomib and Rituximab in Relapsed or Refractory Non-Hodgkin's Lymphoma	Bortezomib and Rituximab in Treating Patients With Relapsed or Refractory B-Cell Non-Hodgkin's Lymphoma	bortezomib | rituximab	2	NCT00265928
49	Phase II Study of the Dose Adjusted EPOCH Regimen in Combination With Ofatumumab/Rituximab as Therapy for Patients With Newly Diagnosed or Relapsed/Refractory Burkitt Leukemia or Relapsed/Refractory Acute Lymphoblastic Leukemia	Burkitt Leukemia - Dose-Adjusted Etoposide, Prednisone, Vincristine, Cyclophosphamide, and Ofatumumab (EPOCH - O)	Ofatumumab | Etoposide | Doxorubicin | Vincristine | Cyclophosphamide | Prednisone | Rituximab | Pegfilgrastim | G-CSF	2	NCT02199184
50	Phase II Study of High-Dose Cytarabine, Cisplatin, and Dexamethasone Followed By Cyclophosphamide, Etoposide, Total Body Irradiation, and Autologous Bone Marrow Rescue in Patients With Relapsed or Refractory Non-Hodgkin's Lymphoma	Combination Chemotherapy and Radiation Therapy Plus Bone Marrow Transplantation in Treating Patients With Relapsed or Refractory Non-Hodgkin's Lymphoma	cisplatin | cyclophosphamide | cytarabine | dexamethasone | etoposide	2	NCT00002481
51	Does CMV Induced Changes in NK Lymphocyte Biology Influence the Effectiveness of Antibody Therapy Used to Treat B Cell Lymphoproliferative Diseases?	Does CMV Induced Changes in NK Lymphocyte Biology Influence the Effectiveness of Antibody Therapy Used to Treat B Cell Lymphoproliferative Diseases?	 		NCT03417414
52	Open-label, Uncontrolled, Single-arm, Phase Ib/II Study of Intravenous Copanlisib in Japanese Patients With Indolent B-cell Non Hodgkin's Lymphomas Relapsed After or Refractory to Standard Therapy	Japanese Phase Ib/II Copanlisib in Relapsed, Indolent B-cell NHL	Copanlisib (BAY80-6946)	1 2	NCT02342665
53	A Phase I/II Trial of Vorinostat (SAHA) (NSC-701852) in Combination With Rituximab-CHOP in Patients With Newly Diagnosed Advanced Stage Diffuse Large B-Cell Lymphoma (DLBCL)	Vorinostat, Rituximab, and Combination Chemotherapy in Treating Patients With Newly Diagnosed Stage II, Stage III, or Stage IV Diffuse Large B-Cell Lymphoma	Cyclophosphamide | Doxorubicin Hydrochloride | Prednisone | Vincristine Sulfate | Vorinostat	1 2	NCT00972478
54	A Phase IA Trial of Combined Murine IgG Monoclonal Anti-Transferrin Receptor Antibodies E2.3 and A27.15 in Cancer Patients	Monoclonal Antibody Therapy in Treating Patients With Advanced Cancer	 	1	NCT00003082
55	Study of the TEM-1 Antibody, MORAb-004 (IND# 103821), in Children With Recurrent or Refractory Solid Tumors	MORAb-004 in Treating Young Patients With Recurrent or Refractory Solid Tumors or Lymphoma	 	1	NCT01748721
56	A Pilot Study of Double Cord Blood Stem Cell Transplantation in Patients With Hematologic Malignancies	Umbilical Cord Blood Stem Cell Transplant in Treating Patients With Hematologic Cancer or Other Disease	Busulfan | Cytarabine | Fludarabine phosphate | mycophenolate mofetil | tacrolimus		NCT00423826
57	A Phase I Trial of VNP40101M, a Novel Alkylating Agent, Administered Weekly for Patients With Advanced or Metastatic Cancer	VNP40101M in Treating Patients With Advanced or Metastatic Cancer	laromustine	1	NCT00049699
58	A Multicenter Phase I Clinical Trial to Assess the Safety of Two Consecutive Days of SyB L-0501 in Combination With Rituximab to Patients With Aggressive B-cell Non-Hodgkin's Lymphoma	A Phase I Clinical Trial to Assess the Safety of SyB L-0501 in Combination With Rituximab to Patients With Aggressive B-cell Non-Hodgkin's Lymphoma	SyB L-0501 | Rituximab	1	NCT00794638
59	A Phase I Trial of a Combined Regimen of Chemotherapy and 90Y-Labeled, Humanized LL2 (Anti-CD22) Antibody With Peripheral Stem Cell Rescue for the Treatment of Relapsed or Refractory Non-Hodgkin's Lymphoma	Radiolabeled Monoclonal Antibody, Combination Chemotherapy, and Peripheral Stem Cell Transplantation in Treating Patients With Recurrent or Refractory B-Cell Cancer	cisplatin | cytarabine | etoposide | ifosfamide	1	NCT00004086
60	An Exploratory Study of the Role of 18F-FSPG PET/CT Imaging for Cancer Patients Receiving Therapy	18F-FSPG PET/CT for Cancer Patients on Therapy	Fluorine F 18 L-glutamate Derivative BAY94-9392	2	NCT02599194
61	Phase II Trial With Correlative Laboratory Studies of Single Agent Irinotecan (Camptosar CPT-11) in Newly Diagnosed and Relapsed Indolent Lymphoproliferative Malignancies	Phase II Trial With Correlative Laboratory Studies of Single Agent Irinotecan (Camptosar CPT-11)	Irinotecan	2	NCT00005626
62	A Pilot Study to Assess the Feasibility of Detection and Quantification of Differences in Hodgkin Lymphoma and Diffuse Large B-cell Lymphoma Using FDG-PET/CT Imaging	Detection and Quant of Differences in Hodgkin Lymphoma and Diffuse Large B-cell Lymphoma Using Positron Emission Tomography/Computed Tomography (PET/CT)	 	2	NCT01004718
63	Phase III Randomized Study of R-CHOP V. Dose-Adjusted EPOCH-R With Molecular Profiling in Untreated De Novo Diffuse Large B-Cell Lymphomas	Rituximab and Combination Chemotherapy in Treating Patients With Diffuse Large B-Cell Non-Hodgkin's Lymphoma	cyclophosphamide | doxorubicin | vincristine | prednisone | etoposide | filgrastim | pegfilgrastim	3	NCT00118209
64	A Phase II Study Evaluating Three Cyslces of Ifosfamide, Carboplatin, Etoposide, and Rituximab (RICE) Followed by Two Cycles of Gallium Nitrate, Rituximab and Dexamethasone (GARD) for Relapsed or Refractory Diffuse Large B-Cell Lymphoma MA	Rituximab, Ifosfamide, Carboplatin, and Etoposide (RICE) Followed by Gallium Nitrate, Rituximab and Dexamethasone (GARD) for Relapsed or Refractory Diffuse Large B-Cell Lymphoma	RICE | GaRD Treatment	2	NCT00836173
65	Phase III, Randomized, Double Blind, Placebo-Controlled Trial of Favldand GM-CSF Versus Placebo and GM-CSF Following Rituximab in Subjects With Follicular B-Cell Non-Hodgkin's Lymphoma	Vaccine Therapy and Sargramostim Compared With Placebo and Sargramostim Following Rituximab in Treating Patients With Non-Hodgkin's Lymphoma	 	3	NCT00089115
66	A Two-Arm, Phase 1b, Open-Label, Dose Escalation Study of ME-401 in Subjects With Relapsed/Refractory CLL, SLL, or FL and an Open-Label Study of ME-401 in Combination With Rituximab in Subjects With Relapsed/Refractory CLL/SLL or B-cell NHL	A Study of ME-401 in Subjects With CLL/SLL, FL, and B-cell Non Hodgkin's Lymphoma	ME-401 | Rituximab	1	NCT02914938
67	A Phase 2 Trial of Pre-phase Treatment Before R-CHOP Chemotherapy in Elderly Patients With Newly Diagnosed DLBCL	Pre-phase Treatment Before R-CHOP Chemotherapy in Elderly Patients With Newly Diagnosed DLBCL	PrednisoLONE 50 MG	2	NCT03465527
68	S1312, A Phase I Study of Inotuzumab Ozogamicin (NSC-772518) in Combination With CVP (Cyclophosphamide, Vincristine, Prednisone) for Patients With Relapsed/Refractory CD22-Positive Acute Leukemia (Including B-ALL, Mixed Phenotypic Leukemia, and Burkitt's Leukemia)	S1312, Inotuzumab Ozogamicin and Combination Chemotherapy in Treating Patients With Relapsed or Refractory Acute Leukemia	cyclophosphamide | vincristine sulfate | prednisone	1	NCT01925131
69	Phase I Pharmacokinetic Trial of Thalidomide and Docetaxel: A Regimen Based on Anti-Angiogenic Therapeutic Principles	Thalidomide and Docetaxel in Treating Patients With Advanced Cancer	docetaxel | thalidomide	1	NCT00049296
70	A Phase I Study to Investigate the Safety and Clinical Activity of Idelalisib in Combination With Chemotherapeutic Agents, Immunomodulatory Agents and Anti-CD20 mAb in Subjects With Relapsed or Refractory Indolent B-cell Non-Hodgkin Lymphoma, Mantle Cell Lymphoma or Chronic Lymphocytic Leukemia	Study to Investigate Idelalisib in Combination With Chemotherapeutic Agents, Immunomodulatory Agents and Anti-CD20 Monoclonal Antibody (mAb) in Subjects With Relapsed or Refractory Indolent B-cell Non-Hodgkin's Lymphoma, Mantle Cell Lymphoma or Chronic Lymphocytic Leukemia	Idelalisib | Rituximab | Bendamustine | Ofatumumab | Fludarabine | Everolimus | Bortezomib | Chlorambucil | Lenalidomide	1	NCT01088048
71	Treatment of B-Cell NHL Relapsing After Transplant With a Rituxan Vinorelbine Combination	Chemotherapy and Monoclonal Antibody Therapy in Treating Patients With B-cell Non-Hodgkin's Lymphoma That Has Relapsed Following Peripheral Stem Cell Transplantation	vinorelbine ditartrate	2	NCT00003963
72	Treatment of Mature B-cell Lymphoma/Leukaemia A SFOP LMB 96/CCG 5961/UKCCSG NHL 9600 Cooperative Study	Treatment of Mature B-cell Lymphoma/Leukaemia	half cyclophosphamide | without COPADM3 | mini CYVE, without 3 maintenance courses | LMB B | LMB C	3	NCT00162656
73	An Open-Label, Phase 1, First-In-Human Study of Safety and Tolerability of TRAIL Receptor Agonist ABBV-621 in Subjects With Previously Treated Solid Tumors and Hematologic Malignancies	A Study of the Safety and Tolerability of ABBV-621 in Participants With Previously Treated Solid Tumors and Hematologic Malignancies	ABBV-621 | Venetoclax	1	NCT03082209
74	Phase II Trial of Thalidomide in Refractory/Relapsed Diffuse Large B-Cell Lymphoma and Hodgkin's Disease	Phase II Trial of Thalidomide in Refractory/Relapsed Diffuse Large B-Cell Lymphoma and Hodgkin's Disease	Thalidomide	2	NCT00209014
75	A Randomized Multicenter Study Comparing Pixantrone + Rituximab With Gemcitabine + Rituximab in Patients With Aggressive B-cell Non-Hodgkin Lymphoma Who Have Relapsed After Therapy With CHOP-R or an Equivalent Regimen and Are Ineligible for Stem Cell Transplant	Comparison of Pixantrone + Rituximab With Gemcitabine + Rituximab in Patients With Aggressive B-cell Non-Hodgkin Lymphoma or Follicular Grade 3 Lymphoma Who Have Relapsed After Therapy and Are Not Eligible for Stem Cell Transplant	Pixantrone + Rituximab | Gemcitabine + Rituximab	3	NCT01321541
76	A Phase 2 Study of VELCADE® (Bortezomib) With Rituximab in Subjects With Relapsed or Refractory Indolent B-Cell Lymphoma	VELCADE® (Bortezomib) With Rituximab in Subjects With Relapsed or Refractory Indolent B-Cell Lymphoma	VELCADE and rituximab	2	NCT00085696
77	Phase II Study of Rituximab Combined With ESHAP in Patients With Relapse or Refractory DLBCL	Rituximab Combined With ESHAP in Patients With Relapse or Refractory Diffuse Large B Cell Lymphoma (DLBCL)	Rituximab combined with ESHAP	2	NCT00568815
78	A Phase I/II Trial of VR-CHOP for Patients With Untreated Follicular Lymphoma and Other Low Grade B-Cell Lymphomas	A Phase I/II Trial of VR-CHOP in Lymphoma Patients	Bortezomib | Doxorubicin | Cyclophosphamide | Vincristine | Prednisone	1 2	NCT00634179
79	Augmenting Bone Marrow With CD34 Enriched Peripheral Blood Hematopoietic Stem Cells for Allogeneic Transplantation of Hematologic Malignancies	Bone Marrow and Peripheral Stem Cell Transplantation in Treating Patients With Hematologic Cancer	cyclosporine | methylprednisolone | prednisone	1	NCT00004232
80	None	A Retrospective Review of Gemcitabine, Methylprednisolone Cisplatin (GEM-P) With or Without Rituximab in Patients With Relapsed/Refractory Diffuse Large B Cell Lymphoma (DLBCL)	Gemcitabine | Cisplatinum | Rituximab		NCT00301301
81	An Early-Phase Clinical Trial Evaluating ABC294640 in Patients With Refractory/Relapsed Diffuse Large B-cell Lymphoma or Kaposi Sarcoma	Early Phase Evaluation of ABC294640 in Patients With Refractory/Relapsed Diffuse Large B-cell Lymphoma or Kaposi Sarcoma	ABC294640	1 2	NCT02229981
82	Reduced Burden of Oncologic Therapy in Advanced B-cell Lymphoma (REBOOT ABLY) in Children, Adolescents and Young Adults With CD20+ Mature B-Cell Lymphoma	Treatment for Advanced B-Cell Lymphoma	Rituximab | IT Cytarabine	2	NCT01859819
83	Valproate as First Line Therapy in Combination With Rituximab and CHOP in Diffuse Large B-cell Lymphoma	Valproate as First Line Therapy in Combination With Rituximab and CHOP in Diffuse Large B-cell Lymphoma	Valproate | Rituximab | Cyclophosphamide | Doxorubicin | Vincristine | Prednisone	1 2	NCT01622439
84	Phase I/II Trial of Azacytidine + R-CHOP in Diffuse Large B-Cell Lymphoma	Phase I/II Trial of R-CHOP + Azacytidine in Diffuse Large B Cell Lymphoma	cyclophosphamide | vincristine | doxorubicin | prednisone | azacytidine	1 2	NCT01004991
85	A Pilot Study to Evaluate the Potential Efficacy of Lithium Carbonate for Stimulation of Intestinal Recovery In Patients With Acute Graft-versus-host Disease (GVHD)	Lithium Carbonate in Treating Patients With Acute Intestinal Graft-Versus-Host-Disease (GVHD) After Donor Stem Cell Transplant	lithium carbonate	1 2	NCT00408681
86	Iodine-131-Labeled Monoclonal Anti-B1 Antibody (I-131 Tositumomab) in Combination With Cyclophosphamide, Doxorubicin, Vincristine, Prednisone and Rituximab Therapy for Patients ≥ Age 60 With Advanced Stage Diffuse Large B-Cell NHL: A Phase II Study	S0433 Iodine I 131 Tositumomab, Rituximab, and Combination Chemotherapy in Treating Older Patients With Stage II, Stage III, or Stage IV Non-Hodgkin's Lymphoma	cyclophosphamide | doxorubicin hydrochloride | prednisone | vincristine sulfate	2	NCT00107380
